Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"vsc.exe",0,100.00,0.00,0.00,0.00,"",
1,"mainCRTStartup",1,99.03,4.35,14.02,0.62,"vsc.exe",
2,"__tmainCRTStartup",1,94.68,0.18,13.40,0.03,"vsc.exe",
3,"main",1,93.47,0.46,13.23,0.06,"vsc.exe",
4,"Emitter::BuildXSE",1,73.40,0.00,10.39,0.00,"vsc.exe",
5,"fclose",1,56.01,56.01,7.93,7.93,"MSVCR120.dll",
5,"Emitter::EmitHeader",1,13.39,0.00,1.90,0.00,"vsc.exe",
6,"_localtime64",1,13.23,13.23,1.87,1.87,"MSVCR120.dll",
6,"fprintf",4,0.15,0.15,0.01,0.01,"MSVCR120.dll",
6,"asctime_s",1,0.01,0.01,0.00,0.00,"MSVCR120.dll",
6,"_time64",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
5,"fopen",1,2.96,2.96,0.42,0.42,"MSVCR120.dll",
5,"Emitter::EmmitFunctions",1,0.95,0.01,0.13,0.00,"vsc.exe",
6,"Emitter::EmitFunc",1,0.91,0.00,0.13,0.00,"vsc.exe",
7,"fprintf",227,0.85,0.85,0.00,0.00,"MSVCR120.dll",
7,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",58,0.06,0.06,0.00,0.00,"vsc.exe",
7,"ICodeStream<ICodeNode>::GetICodeOpByIndex",42,0.02,0.02,0.00,0.00,"vsc.exe",
7,"Emitter::EmitScopeSymbols",2,0.02,0.00,0.00,0.00,"vsc.exe",
8,"fprintf",5,0.02,0.02,0.00,0.00,"MSVCR120.dll",
7,"FunctionList::getInstance",14,0.00,0.00,0.00,0.00,"vsc.exe",
6,"fprintf",2,0.02,0.02,0.00,0.00,"MSVCR120.dll",
5,"fprintf",3,0.06,0.06,0.00,0.00,"MSVCR120.dll",
5,"Emitter::EmitScopeSymbols",1,0.03,0.01,0.00,0.00,"vsc.exe",
6,"fprintf",7,0.03,0.03,0.00,0.00,"MSVCR120.dll",
5,"Emitter::EmitDirectives",1,0.00,0.00,0.00,0.00,"vsc.exe",
4,"Parser::ParseSourceCode",1,7.39,0.28,1.05,0.04,"vsc.exe",
5,"Parser::ParseStatement",8,6.98,0.12,0.12,0.00,"vsc.exe",
6,"Parser::ParseFunc",1,6.36,0.02,0.90,0.00,"vsc.exe",
7,"Parser::ParseBlock",1,6.29,0.01,0.89,0.00,"vsc.exe",
8,"Parser::ParseStatement",11,5.99,0.40,0.08,0.01,"vsc.exe",
9,"Parser::ParseSwitch",1,2.63,0.03,0.37,0.00,"vsc.exe",
10,"Parser::ParseSwitchStatement",10,2.44,0.09,0.03,0.00,"vsc.exe",
11,"Parser::ParseCase",4,1.46,0.19,0.05,0.01,"vsc.exe",
12,"Parser::ParseStatement",4,0.89,0.17,0.03,0.01,"vsc.exe",
13,"Parser::ParseFuncCall",4,0.58,0.03,0.02,0.00,"vsc.exe",
14,"Parser::ParseExpr",4,0.39,0.02,0.01,0.00,"vsc.exe",
15,"Parser::ParseSubExpr",4,0.36,0.00,0.01,0.00,"vsc.exe",
16,"Parser::ParseTerm",4,0.34,0.00,0.01,0.00,"vsc.exe",
17,"Parser::ParseFactor",4,0.32,0.02,0.01,0.00,"vsc.exe",
18,"Lexer::GetNextToken",8,0.14,0.13,0.00,0.00,"vsc.exe",
19,"Lexer::IsCharDelim",8,0.00,0.00,0.00,0.00,"vsc.exe",
19,"Lexer::IsCharIdent",8,0.00,0.00,0.00,0.00,"vsc.exe",
19,"Lexer::CopyLexerState",8,0.00,0.00,0.00,0.00,"vsc.exe",
18,"malloc",4,0.12,0.12,0.00,0.00,"MSVCR120.dll",
18,"ICodeStream<ICodeNode>::AddStringICodeOp",4,0.02,0.01,0.00,0.00,"vsc.exe",
19,"DList<OpList>::Append",4,0.01,0.00,0.00,0.00,"vsc.exe",
20,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
20,"DNode<OpList>::DNode<OpList>",4,0.00,0.00,0.00,0.00,"vsc.exe",
19,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",4,0.00,0.00,0.00,0.00,"vsc.exe",
18,"ICodeStream<ICodeNode>::AddICodeInstr",4,0.01,0.00,0.00,0.00,"vsc.exe",
19,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
19,"DList<ICodeNode>::Append",4,0.00,0.00,0.00,0.00,"vsc.exe",
20,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"strnlen",8,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"DList<SymbolNode *>::Append",4,0.01,0.00,0.00,0.00,"vsc.exe",
19,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"strcpy_s",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"SymbolList::GetSymbolByIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
19,"_stricmp",12,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::GetNextToken",4,0.01,0.01,0.00,0.00,"vsc.exe",
18,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
18,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
18,"Lexer::IsCharIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::GetNextToken",4,0.01,0.01,0.00,0.00,"vsc.exe",
17,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::IsCharIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::GetNextToken",4,0.01,0.01,0.00,0.00,"vsc.exe",
16,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::IsCharIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::GetLookAheadChar",16,0.10,0.01,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",16,0.08,0.08,0.00,0.00,"MSVCR120.dll",
15,"Lexer::CopyLexerState",32,0.01,0.01,0.00,0.00,"vsc.exe",
14,"Lexer::GetNextToken",8,0.03,0.02,0.00,0.00,"vsc.exe",
15,"Lexer::CopyLexerState",8,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharDelim",8,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharIdent",8,0.00,0.00,0.00,0.00,"vsc.exe",
14,"ICodeStream<ICodeNode>::AddFuncICodeOp",4,0.01,0.01,0.00,0.00,"vsc.exe",
15,"DList<OpList>::Append",4,0.01,0.00,0.00,0.00,"vsc.exe",
16,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
16,"DNode<OpList>::DNode<OpList>",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"ICodeStream<ICodeNode>::AddICodeInstr",4,0.01,0.00,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
15,"DList<ICodeNode>::Append",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
14,"FunctionList::GetFuncByName",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"_stricmp",4,0.00,0.00,0.00,0.00,"MSVCR120.dll",
13,"Lexer::GetNextToken",12,0.07,0.01,0.00,0.00,"vsc.exe",
14,"_stricmp",128,0.09,0.09,0.00,0.00,"MSVCR120.dll",
14,"Lexer::IsCharIdent",12,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::CopyLexerState",12,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
13,"ICodeStream<ICodeNode>::AddICodeSourceLine",4,0.02,0.00,0.00,0.00,"vsc.exe",
14,"DList<ICodeNode>::Append",4,0.01,0.01,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
14,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
13,"Lexer::GetLookAheadChar",4,0.02,0.01,0.00,0.00,"vsc.exe",
14,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
14,"Lexer::CopyLexerState",8,0.00,0.00,0.00,0.00,"vsc.exe",
13,"SymbolList::GetSymbolByIdent",4,0.01,0.01,0.00,0.00,"vsc.exe",
14,"_stricmp",12,0.01,0.01,0.00,0.00,"MSVCR120.dll",
13,"FunctionList::getInstance",4,0.01,0.01,0.00,0.00,"vsc.exe",
13,"FunctionList::GetFuncByName",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"_stricmp",4,0.00,0.00,0.00,0.00,"MSVCR120.dll",
13,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Parser::ParseExpr",4,0.23,0.00,0.01,0.00,"vsc.exe",
13,"Parser::ParseSubExpr",4,0.21,0.00,0.01,0.00,"vsc.exe",
14,"Parser::ParseTerm",4,0.20,0.00,0.01,0.00,"vsc.exe",
15,"Parser::ParseFactor",4,0.18,0.02,0.01,0.00,"vsc.exe",
16,"ICodeStream<ICodeNode>::AddStringICodeOp",4,0.05,0.00,0.00,0.00,"vsc.exe",
17,"DList<OpList>::Append",4,0.04,0.03,0.00,0.00,"vsc.exe",
18,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"DNode<OpList>::DNode<OpList>",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"ICodeStream<ICodeNode>::AddICodeInstr",4,0.05,0.01,0.00,0.00,"vsc.exe",
17,"??2@YAPAXI@Z",4,0.02,0.02,0.00,0.00,"MSVCR120.dll",
17,"DList<ICodeNode>::Append",4,0.01,0.01,0.00,0.00,"vsc.exe",
18,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
16,"Lexer::GetNextToken",8,0.03,0.03,0.00,0.00,"vsc.exe",
17,"Lexer::IsCharDelim",8,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::CopyLexerState",8,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::IsCharIdent",8,0.00,0.00,0.00,0.00,"vsc.exe",
16,"malloc",4,0.02,0.02,0.00,0.00,"MSVCR120.dll",
16,"strcpy_s",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
16,"strnlen",8,0.01,0.01,0.00,0.00,"MSVCR120.dll",
16,"DList<SymbolNode *>::Append",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"??2@YAPAXI@Z",4,0.01,0.01,0.00,0.00,"MSVCR120.dll",
16,"SymbolList::GetSymbolByIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
17,"_stricmp",12,0.01,0.01,0.00,0.00,"MSVCR120.dll",
16,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::GetNextToken",4,0.01,0.01,0.00,0.00,"vsc.exe",
16,"Lexer::IsCharIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::GetNextToken",4,0.01,0.01,0.00,0.00,"vsc.exe",
15,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::GetNextToken",4,0.01,0.01,0.00,0.00,"vsc.exe",
14,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::IsCharIdent",4,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::GetNextToken",17,0.15,0.02,0.00,0.00,"vsc.exe",
13,"_stricmp",208,0.17,0.17,0.00,0.00,"MSVCR120.dll",
13,"Lexer::IsCharIdent",17,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::CopyLexerState",17,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::IsCharDelim",4,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::CopyLexerState",4,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Parser::ParseDefault",1,0.82,0.07,0.12,0.01,"vsc.exe",
12,"Parser::ParseStatement",3,0.69,0.07,0.03,0.00,"vsc.exe",
13,"Parser::ParseFuncCall",3,0.55,0.05,0.03,0.00,"vsc.exe",
14,"Parser::ParseExpr",3,0.34,0.01,0.02,0.00,"vsc.exe",
15,"Parser::ParseSubExpr",3,0.31,0.00,0.01,0.00,"vsc.exe",
16,"Parser::ParseTerm",3,0.30,0.00,0.01,0.00,"vsc.exe",
17,"Parser::ParseFactor",3,0.28,0.01,0.01,0.00,"vsc.exe",
18,"Lexer::GetNextToken",6,0.13,0.13,0.00,0.00,"vsc.exe",
19,"Lexer::IsCharDelim",6,0.00,0.00,0.00,0.00,"vsc.exe",
19,"Lexer::IsCharIdent",6,0.00,0.00,0.00,0.00,"vsc.exe",
19,"Lexer::CopyLexerState",6,0.00,0.00,0.00,0.00,"vsc.exe",
18,"ICodeStream<ICodeNode>::AddStringICodeOp",3,0.11,0.00,0.01,0.00,"vsc.exe",
19,"DList<OpList>::Append",3,0.10,0.00,0.00,0.00,"vsc.exe",
20,"??2@YAPAXI@Z",3,0.10,0.10,0.00,0.00,"MSVCR120.dll",
20,"DNode<OpList>::DNode<OpList>",3,0.00,0.00,0.00,0.00,"vsc.exe",
19,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",3,0.00,0.00,0.00,0.00,"vsc.exe",
18,"ICodeStream<ICodeNode>::AddICodeInstr",3,0.01,0.00,0.00,0.00,"vsc.exe",
19,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
19,"DList<ICodeNode>::Append",3,0.00,0.00,0.00,0.00,"vsc.exe",
20,"??2@YAPAXI@Z",3,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"strnlen",6,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"malloc",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
18,"strcpy_s",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
18,"DList<SymbolNode *>::Append",3,0.00,0.00,0.00,0.00,"vsc.exe",
19,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
18,"SymbolList::GetSymbolByIdent",3,0.00,0.00,0.00,0.00,"vsc.exe",
19,"_stricmp",9,0.01,0.01,0.00,0.00,"MSVCR120.dll",
18,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::GetNextToken",3,0.01,0.01,0.00,0.00,"vsc.exe",
18,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
18,"Lexer::IsCharDelim",3,0.00,0.00,0.00,0.00,"vsc.exe",
18,"Lexer::IsCharIdent",3,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::GetNextToken",3,0.01,0.01,0.00,0.00,"vsc.exe",
17,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::IsCharDelim",3,0.00,0.00,0.00,0.00,"vsc.exe",
17,"Lexer::IsCharIdent",3,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::GetNextToken",3,0.02,0.02,0.00,0.00,"vsc.exe",
16,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::IsCharDelim",3,0.00,0.00,0.00,0.00,"vsc.exe",
16,"Lexer::IsCharIdent",3,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::GetLookAheadChar",12,0.12,0.01,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",12,0.10,0.10,0.00,0.00,"MSVCR120.dll",
15,"Lexer::CopyLexerState",24,0.01,0.01,0.00,0.00,"vsc.exe",
14,"Lexer::GetNextToken",6,0.02,0.02,0.00,0.00,"vsc.exe",
15,"Lexer::CopyLexerState",6,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharDelim",6,0.00,0.00,0.00,0.00,"vsc.exe",
15,"Lexer::IsCharIdent",6,0.00,0.00,0.00,0.00,"vsc.exe",
14,"ICodeStream<ICodeNode>::AddFuncICodeOp",3,0.01,0.00,0.00,0.00,"vsc.exe",
15,"DList<OpList>::Append",3,0.00,0.00,0.00,0.00,"vsc.exe",
16,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
16,"DNode<OpList>::DNode<OpList>",3,0.00,0.00,0.00,0.00,"vsc.exe",
15,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",3,0.00,0.00,0.00,0.00,"vsc.exe",
14,"ICodeStream<ICodeNode>::AddICodeInstr",3,0.01,0.00,0.00,0.00,"vsc.exe",
15,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
15,"DList<ICodeNode>::Append",3,0.00,0.00,0.00,0.00,"vsc.exe",
16,"??2@YAPAXI@Z",3,0.01,0.01,0.00,0.00,"MSVCR120.dll",
14,"FunctionList::GetFuncByName",3,0.00,0.00,0.00,0.00,"vsc.exe",
15,"_stricmp",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
